"","ID_VIV","ID_HOG","ID_PER","ID_DEL","UPM","VIV_SEL","HOGAR","ND_TIPO","TD_TIPO","BPCOD","R_SEL","RESUL_H","SEXO","EDAD","AREAM_OCU","BP1_1","BP1_2C","BP1_3C","BP1_4","BP1_5","BP1_5A_1","BP1_5A_2","BP1_5A_3","BP1_5A_4","BP1_5A_9","BP1_6","BP1_7","BP1_8","BP1_9","BP1_10_1","BP1_10_2","BP1_10_9","BP1_11","BP1_12_1","BP1_12_2","BP1_12_3","BP1_12_4","BP1_12_5","BP1_12_9","BP1_13","BP1_14_1","BP1_14_2","BP1_14_3","BP1_14_4","BP1_14_9","BP1_15","BP1_16_1","BP1_16_2","BP1_16_3","BP1_16_4","BP1_16_9","BP1_17","BP1_18","BP1_19_1","BP1_19_2","BP1_19_3","BP1_19_4","BP1_19_5","BP1_19_6","BP1_19_7","BP1_19_8","BP1_20","BP1_21","BP1_22","BP1_23","BP1_24","BP1_25","BP1_26","BP1_27","BP1_28","BP1_29","BP1_30","BP1_31_01","BP1_31_02","BP1_31_03","BP1_31_04","BP1_31_05","BP1_31_06","BP1_31_07","BP1_31_08","BP1_31_99","BP1_32_1","BP1_32_2","BP1_32_3","BP1_32_4","BP1_32_5","BP1_32_9","BP1_33","BP1_34","BP1_35","BP1_36_01","BP1_36_02","BP1_36_03","BP1_36_04","BP1_36_05","BP1_36_06","BP1_36_07","BP1_36_08","BP1_36_09","BP1_36_10","BP1_36_11","BP1_36_99","BP2_1","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_99","BP3_2","BP4_1","BP5_1","BP5_1A_1","BP5_1A_2","BP5_1A_3","BP5_1A_4","BP5_2_1","BP5_2_2","BP5_2_3","BP5_3","BP6_1","BP6_2","BP6_3","BP7_1","FAC_DEL","FAC_DEL_AM","DOMINIO","ESTRATO","EST_DIS","UPM_DIS"
"21271","1700882.02","1700882.02.01","1700882.02.01.01","1700882.02.01.01.09.2","1700882","02","01",2,3,"09","01","A",2,"48","29","10","17","007",3,2,1,0,0,0,0,1,1,1,9,0,0,1,9,1,0,0,0,0,0,2,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"09",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,"000347","000347","U",3,"0366","07662"
"21272","1701080.04","1701080.04.01","1701080.04.01.02","1701080.04.01.02.03.1","1701080","04","01",1,2,"03","02","A",2,"68","29","05","17","007",4,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"06",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000500","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000243","000243","U",4,"0367","07698"
"21273","1702476.04","1702476.04.01","1702476.04.01.05","1702476.04.01.05.03.1","1702476","04","01",1,3,"03","05","A",2,"22","29","09","17","007",3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"06",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0000000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000281","000281","U",4,"0367","07686"
"21274","1700906.03","1700906.03.01","1700906.03.01.01","1700906.03.01.01.04.1","1700906","03","01",1,1,"04","01","A",1,"31","29","11","17","007",9,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"0035000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000203","000203","U",3,"0366","07605"
"21275","1702284.04","1702284.04.01","1702284.04.01.01","1702284.04.01.01.02.1","1702284","04","01",1,1,"02","01","A",1,"42","29","10","17","007",2,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0010000","0000000",0,0,1,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000204","000204","U",4,"0367","07709"
"21276","1701273.02","1701273.02.01","1701273.02.01.01","1701273.02.01.01.09.1","1701273","02","01",1,2,"09","01","A",1,"50","29","12","17","007",2,1,0,1,0,0,0,1,1,2,1,1,0,0,9,1,0,0,0,0,0,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"07",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,"000580","000580","U",4,"0367","07683"
"21277","1701154.04","1701154.04.01","1701154.04.01.01","1701154.04.01.01.08.1","1701154","04","01",1,1,"08","01","A",2,"67","29","01","17","007",2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000345","000345","U",3,"0366","07640"
"21278","1700906.03","1700906.03.01","1700906.03.01.01","1700906.03.01.01.07.1","1700906","03","01",1,2,"07","01","A",1,"31","29","10","17","007",2,4,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"03",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0002700","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000203","000203","U",3,"0366","07605"
"21279","1701460.04","1701460.04.01","1701460.04.01.01","1701460.04.01.01.03.1","1701460","04","01",1,1,"03","01","A",1,"59","29","02","17","007",1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,"04",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0001000","0000000",0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000188","000188","U",3,"0366","07623"
"21280","1702135.05","1702135.05.01","1702135.05.01.05","1702135.05.01.05.13.5","1702135","05","01",5,5,"13","05","A",2,"49","29","11","17","007",3,5,0,0,1,0,0,1,1,2,1,1,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"05",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0000000","0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"001293","001293","U",4,"0367","07693"
