LUGAR_STR,Amenazas,Delito sexual,Extorsión,Fraude bancario,Homicidio familiar,Lesiones,Otro delito,Robo accesorios,Robo banco/cajero,Robo calle,Robo negocio,Robo transporte,Robo vehículo,Robo vivienda,Secuestro
Banco,6.363636363636363,6.136363636363637,9.545454545454547,4.545454545454546,0.0,3.1818181818181817,0.45454545454545453,17.045454545454543,7.2727272727272725,15.227272727272728,1.5909090909090908,9.772727272727273,2.5,16.136363636363637,0.22727272727272727
Bar / cantina / antro,9.019607843137255,2.7450980392156863,11.372549019607844,5.88235294117647,0.0,3.9215686274509802,0.39215686274509803,5.098039215686274,14.901960784313726,13.333333333333334,8.235294117647058,10.196078431372548,1.9607843137254901,12.941176470588237,0.0
Cajero automático,8.49056603773585,3.30188679245283,15.09433962264151,6.60377358490566,0.0,2.358490566037736,0.0,17.452830188679243,10.849056603773585,16.037735849056602,1.4150943396226416,5.188679245283019,1.8867924528301887,11.320754716981133,0.0
Calle / vía pública,8.8659793814433,5.267104029990628,9.615745079662604,6.579194001874414,0.39362699156513586,3.8425492033739452,0.5998125585754452,18.725398313027178,8.509840674789128,17.11340206185567,1.7806935332708531,3.8050609184629804,2.8116213683223994,11.97750702905342,0.11246485473289597
Carretera,9.148936170212766,2.872340425531915,9.46808510638298,6.276595744680851,0.10638297872340426,4.042553191489362,0.2127659574468085,24.893617021276597,5.319148936170213,7.127659574468086,1.702127659574468,9.25531914893617,1.8085106382978722,17.76595744680851,0.0
Casa de empeño,9.172259507829978,3.5794183445190155,7.829977628635347,8.389261744966444,0.5592841163310962,3.3557046979865772,0.6711409395973155,15.548098434004473,9.843400447427292,13.087248322147651,3.5794183445190155,10.738255033557047,2.460850111856823,10.961968680089486,0.22371364653243847
Centro comercial,11.11111111111111,4.248366013071895,13.398692810457517,7.516339869281046,0.32679738562091504,2.6143790849673203,0.32679738562091504,8.49673202614379,16.99346405228758,4.57516339869281,5.88235294117647,7.516339869281046,2.941176470588235,13.398692810457517,0.6535947712418301
Escuela,10.944206008583691,5.36480686695279,8.369098712446352,10.515021459227468,0.0,3.2188841201716736,0.6437768240343348,16.30901287553648,12.231759656652361,3.862660944206009,2.1459227467811157,12.660944206008583,2.1459227467811157,11.158798283261802,0.4291845493562232
Estacionamiento,9.615384615384617,3.076923076923077,22.30769230769231,9.615384615384617,0.0,2.6923076923076925,1.153846153846154,6.538461538461539,13.076923076923078,10.76923076923077,1.153846153846154,11.923076923076923,0.7692307692307693,7.307692307692308,0.0
Farmacia,7.738693467336684,3.7185929648241203,14.974874371859295,7.537688442211055,0.3015075376884422,2.512562814070352,0.5025125628140703,13.266331658291458,8.64321608040201,11.256281407035177,3.5175879396984926,10.251256281407036,3.4170854271356785,12.261306532663317,0.10050251256281408
Gasolinera,6.912442396313365,2.5345622119815667,5.529953917050691,7.373271889400922,0.2304147465437788,1.6129032258064515,0.4608294930875576,23.732718894009217,6.451612903225806,7.373271889400922,2.5345622119815667,13.594470046082948,2.0737327188940093,19.5852534562212,0.0
Hotel / motel,10.077519379844961,4.1343669250646,23.25581395348837,7.235142118863049,0.2583979328165375,2.0671834625323,1.550387596899225,10.335917312661499,7.751937984496124,7.235142118863049,8.785529715762273,8.010335917312661,5.167958656330749,3.875968992248062,0.2583979328165375
Internet / digital,7.7369439071566735,5.222437137330754,10.058027079303674,7.930367504835589,0.19342359767891684,3.67504835589942,1.5473887814313347,12.959381044487428,8.51063829787234,17.988394584139265,1.7408123791102514,5.415860735009671,1.5473887814313347,15.473887814313347,0.0
Joyería,12.465373961218837,4.1551246537396125,9.141274238227147,9.141274238227147,0.0,4.7091412742382275,0.554016620498615,19.113573407202217,9.97229916897507,2.21606648199446,1.3850415512465373,11.080332409972298,3.8781163434903045,12.18836565096953,0.0
