Unnamed: 0,ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_5A_1,BP1_5A_2,BP1_5A_3,BP1_5A_4,BP1_5A_9,BP1_6,BP1_7,BP1_8,BP1_9,BP1_10_1,BP1_10_2,BP1_10_9,BP1_11,BP1_12_1,BP1_12_2,BP1_12_3,BP1_12_4,BP1_12_5,BP1_12_9,BP1_13,BP1_14_1,BP1_14_2,BP1_14_3,BP1_14_4,BP1_14_9,BP1_15,BP1_16_1,BP1_16_2,BP1_16_3,BP1_16_4,BP1_16_9,BP1_17,BP1_18,BP1_19_1,BP1_19_2,BP1_19_3,BP1_19_4,BP1_19_5,BP1_19_6,BP1_19_7,BP1_19_8,BP1_20,BP1_21,BP1_22,BP1_23,BP1_24,BP1_25,BP1_26,BP1_27,BP1_28,BP1_29,BP1_30,BP1_31_01,BP1_31_02,BP1_31_03,BP1_31_04,BP1_31_05,BP1_31_06,BP1_31_07,BP1_31_08,BP1_31_99,BP1_32_1,BP1_32_2,BP1_32_3,BP1_32_4,BP1_32_5,BP1_32_9,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,BP2_1,BP3_1_01,BP3_1_02,BP3_1_03,BP3_1_04,BP3_1_05,BP3_1_06,BP3_1_07,BP3_1_08,BP3_1_09,BP3_1_10,BP3_1_11,BP3_1_12,BP3_1_99,BP3_2,BP4_1,BP5_1,BP5_1A_1,BP5_1A_2,BP5_1A_3,BP5_1A_4,BP5_2_1,BP5_2_2,BP5_2_3,BP5_3,BP6_1,BP6_2,BP6_3,BP7_1,FAC_DEL,FAC_DEL_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,TIPO_DELITO_STR,LUGAR_STR,SEXO_STR
16369,1404409.03,1404409.03.01,1404409.03.01.02,1404409.03.01.02.04.1,1404409,3,1,1,1,4,2,A,2,28,2.0,1,14,39,9,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,9,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,1056,1056.0,U,4,281,6447,Robo en transporte público,En su vivienda,Mujer
16370,1404885.05,1404885.05.01,1404885.05.01.02,1404885.05.01.02.13.2,1404885,5,1,2,2,13,2,A,2,42,2.0,8,14,39,3,5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,,,,,,,2.0,,,,,,,,,2,,,3.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,700.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2361,2361.0,U,4,281,6399,Delito sexual,En su vivienda,Mujer
16372,1402807.03,1402807.03.01,1402807.03.01.01,1402807.03.01.01.02.1,1402807,3,1,1,3,2,1,A,1,49,2.0,1,14,39,4,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,1500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,1011.0,U,3,280,6317,Robo de accesorios de vehículo,En su vivienda,Hombre
16373,1404709.03,1404709.03.01,1404709.03.01.01,1404709.03.01.01.02.1,1404709,3,1,1,1,2,1,A,2,28,2.0,6,14,39,2,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,5500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,969.0,U,3,280,6335,Robo de accesorios de vehículo,En su vivienda,Mujer
16374,1404409.04,1404409.04.01,1404409.04.01.02,1404409.04.01.02.03.1,1404409,4,1,1,1,3,2,A,1,34,2.0,8,14,39,3,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,5.0,,,,,,,2,,,,,,,,,,,,,,,,5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056,1056.0,U,4,281,6447,Robo en vivienda,En su vivienda,Hombre
16376,1405681.04,1405681.04.01,1405681.04.01.01,1405681.04.01.01.04.1,1405681,4,1,1,2,4,1,A,1,65,2.0,1,14,39,3,2,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,7.0,,,,,,,2,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,882,882.0,U,4,281,6477,Robo en transporte público,En su vivienda,Hombre
16377,1404544.05,1404544.05.01,1404544.05.01.01,1404544.05.01.01.13.1,1404544,5,1,1,1,13,1,A,2,32,2.0,12,14,39,3,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,2.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,946,946.0,U,4,281,6471,Delito sexual,En su vivienda,Mujer
16378,1405122.05,1405122.05.01,1405122.05.01.02,1405122.05.01.02.09.5,1405122,5,1,5,5,9,2,A,2,72,2.0,12,14,39,1,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,2.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,3.0,,,,,3780,3780.0,U,3,280,6353,Extorsión,En su vivienda,Mujer
16379,1405617.05,1405617.05.01,1405617.05.01.01,1405617.05.01.01.02.1,1405617,5,1,1,1,2,1,A,1,44,2.0,7,14,39,3,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,1092.0,U,4,281,6430,Robo de accesorios de vehículo,En su vivienda,Hombre
16380,1405617.04,1405617.04.01,1405617.04.01.02,1405617.04.01.02.01.1,1405617,4,1,1,1,1,2,A,2,63,2.0,8,14,39,2,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1.0,3.0,,3.0,1.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,500000.0,3000.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092,1092.0,U,4,281,6430,Robo total de vehículo,En su vivienda,Mujer
